ID: 1, Pais: Afghanistan, Numero de Ciudades: 1, Numero de Direcciones: 1
ID: 2, Pais: Algeria, Numero de Ciudades: 3, Numero de Direcciones: 3
ID: 3, Pais: American Samoa, Numero de Ciudades: 1, Numero de Direcciones: 1
ID: 4, Pais: Angola, Numero de Ciudades: 2, Numero de Direcciones: 1
ID: 5, Pais: Anguilla, Numero de Ciudades: 1, Numero de Direcciones: 1
ID: 6, Pais: Argentina, Numero de Ciudades: 13, Numero de Direcciones: 10
ID: 7, Pais: Armenia, Numero de Ciudades: 1, Numero de Direcciones: 1
ID: 8, Pais: Australia, Numero de Ciudades: 1, Numero de Direcciones: 2
ID: 9, Pais: Austria, Numero de Ciudades: 3, Numero de Direcciones: 3
ID: 10, Pais: Azerbaijan, Numero de Ciudades: 2, Numero de Direcciones: 2
ID: 11, Pais: Bahrain, Numero de Ciudades: 1, Numero de Direcciones: 0
ID: 12, Pais: Bangladesh, Numero de Ciudades: 3, Numero de Direcciones: 3
ID: 13, Pais: Belarus, Numero de Ciudades: 2, Numero de Direcciones: 1
ID: 14, Pais: Bolivia, Numero de Ciudades: 2, Numero de Direcciones: 2
ID: 15, Pais: Brazil, Numero de Ciudades: 28, Numero de Direcciones: 25
ID: 16, Pais: Brunei, Numero de Ciudades: 1, Numero de Direcciones: 1
ID: 17, Pais: Bulgaria, Numero de Ciudades: 2, Numero de Direcciones: 1
ID: 18, Pais: Cambodia, Numero de Ciudades: 2, Numero de Direcciones: 1
ID: 19, Pais: Cameroon, Numero de Ciudades: 2, Numero de Direcciones: 2
ID: 20, Pais: Canada, Numero de Ciudades: 7, Numero de Direcciones: 6
ID: 21, Pais: Chad, Numero de Ciudades: 1, Numero de Direcciones: 0
ID: 22, Pais: Chile, Numero de Ciudades: 3, Numero de Direcciones: 2
ID: 23, Pais: China, Numero de Ciudades: 53, Numero de Direcciones: 35
ID: 24, Pais: Colombia, Numero de Ciudades: 6, Numero de Direcciones: 5
ID: 25, Pais: Congo, Numero de Ciudades: 2, Numero de Direcciones: 2
ID: 26, Pais: Czech Republic, Numero de Ciudades: 1, Numero de Direcciones: 1
ID: 27, Pais: Dominican Republic, Numero de Ciudades: 3, Numero de Direcciones: 3
ID: 28, Pais: Ecuador, Numero de Ciudades: 3, Numero de Direcciones: 1
ID: 29, Pais: Egypt, Numero de Ciudades: 6, Numero de Direcciones: 4
ID: 30, Pais: Estonia, Numero de Ciudades: 1, Numero de Direcciones: 1
ID: 31, Pais: Ethiopia, Numero de Ciudades: 1, Numero de Direcciones: 1
ID: 32, Pais: Faroe Islands, Numero de Ciudades: 1, Numero de Direcciones: 1
ID: 33, Pais: Finland, Numero de Ciudades: 1, Numero de Direcciones: 1
ID: 34, Pais: France, Numero de Ciudades: 4, Numero de Direcciones: 4
ID: 35, Pais: French Guiana, Numero de Ciudades: 1, Numero de Direcciones: 1
ID: 36, Pais: French Polynesia, Numero de Ciudades: 2, Numero de Direcciones: 2
ID: 37, Pais: Gambia, Numero de Ciudades: 1, Numero de Direcciones: 0
ID: 38, Pais: Germany, Numero de Ciudades: 7, Numero de Direcciones: 7
ID: 39, Pais: Greece, Numero de Ciudades: 2, Numero de Direcciones: 1
ID: 40, Pais: Greenland, Numero de Ciudades: 1, Numero de Direcciones: 1
ID: 41, Pais: Holy See Vatican City State, Numero de Ciudades: 1, Numero de Direcciones: 1
ID: 42, Pais: Hong Kong, Numero de Ciudades: 1, Numero de Direcciones: 1
ID: 43, Pais: Hungary, Numero de Ciudades: 1, Numero de Direcciones: 0
ID: 44, Pais: India, Numero de Ciudades: 60, Numero de Direcciones: 53
ID: 45, Pais: Indonesia, Numero de Ciudades: 14, Numero de Direcciones: 9
ID: 46, Pais: Iran, Numero de Ciudades: 8, Numero de Direcciones: 8
ID: 47, Pais: Iraq, Numero de Ciudades: 1, Numero de Direcciones: 0
ID: 48, Pais: Israel, Numero de Ciudades: 4, Numero de Direcciones: 3
ID: 49, Pais: Italy, Numero de Ciudades: 7, Numero de Direcciones: 4
ID: 50, Pais: Japan, Numero de Ciudades: 31, Numero de Direcciones: 25
ID: 51, Pais: Kazakstan, Numero de Ciudades: 2, Numero de Direcciones: 1
ID: 52, Pais: Kenya, Numero de Ciudades: 2, Numero de Direcciones: 2
ID: 53, Pais: Kuwait, Numero de Ciudades: 1, Numero de Direcciones: 1
ID: 54, Pais: Latvia, Numero de Ciudades: 2, Numero de Direcciones: 2
ID: 55, Pais: Liechtenstein, Numero de Ciudades: 1, Numero de Direcciones: 1
ID: 56, Pais: Lithuania, Numero de Ciudades: 1, Numero de Direcciones: 0
ID: 57, Pais: Madagascar, Numero de Ciudades: 1, Numero de Direcciones: 1
ID: 58, Pais: Malawi, Numero de Ciudades: 1, Numero de Direcciones: 1
ID: 59, Pais: Malaysia, Numero de Ciudades: 3, Numero de Direcciones: 3
